"filename", "language", "YAML", "Properties", "Markdown", "JSON", "C++", "Groovy", "Swift", "XML", "Ruby", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\pubspec.yaml", "YAML", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 85
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 5, 39
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 5, 33
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 79, 8, 5, 349, 572, 83, 68, 454, 66, 14289, 19, 1687, 1722, 19401
